"isbn","title","author","summary","pages","year","language","publisher","subjects","genres"
"3-423-07521-X","Der Findefuchs","Korschunow, Irina","Eine Füchsin findet ein verlassenes Fuchskind.","46","1983","ger","Dt. Taschenbuch-Verl.","Fuchs","Kinderbuch"
"3-423-07583-X","Kleiner Pelz","Korschunow, Irina","Kleiner Pelz wohnt mit seiner Mutter im Wald. Dort erlebt er phantastische Abenteuer mit seinen Freunden, dem Elfchen und dem traurigen Nöck.","86","1987","ger","dtv","Freundschaft","Kinderbuch"
"3-423-07598-8","Wuschelbär","Korschunow, Irina","Wuschelbär will keinen Bruder haben.","34","2003","ger","Dt. Taschenbuch-Verl.","Teddybär; Eifersucht","Kinderbuch"
"3-423-07823-5","Er hieß Jan","Korschunow, Irina","Ein 17jähriges Mädchen aus einem nationalsozialistischen Elternhaus lernt einen jungen Polen kennen und lieben.","117","1982","ger","Dt. Taschenbuch-Verl.","Weltkrieg <1939-1945>; Polnischer Jugendlicher","Jugendbuch"
"3-423-10539-9","Die Reise nach Sofia","Schrobsdorff, Angelika","Eine Bulgarin und eine in Paris lebende Deutsche versuchen, die Divergenzen unterschiedlicher Lebenswelten in Ost und West zu überwinden.","214","1986","ger","Dt. Taschenbuch-Verl.","Bulgarin; Deutsche Frau; Gesellschaftskritik","Fiktionale Darstellung"
"3-423-10745-6","Abschied","Becher, Johannes R.","Der Staatsanwalt-Vater wäre gern stolz auf einen künftigen Kriegsfreiwilligen der Familie, aber der Sohn, einer der Antibürger im Café Stephanie, sucht verzweifelt nach Anderem.","437","1987","ger","Dtv","Staatsanwalt; Sohn; Nonkonformismus","Fiktionale Darstellung"
"3-423-11115-1","Gebranntes Kind sucht das Feuer","Edvardson, Cordelia","Eine Halbjüdin, Tochter der Schriftstellerin Elisabeth Langgässer,überlebt den Weg durch die Hölle von Ausschwitz.","129","2002","ger","Dt. Taschenbuch-Verl.","","Fiktionale Darstellung; Fiktionale Darstellung"
"3-423-11345-6","Bewohnte Frau","Belli, Gioconda","Lavinia, eine attraktive, emanzipierte junge Frau aus der Oberschicht eines lateinamerikanischen Landes kehrt in ihre Heimat zurück, um als Architektin Karriere zu machen.","374","1995","ger","Dt. Taschenbuch-Verl.","Untergrundbewegung; Terrorismus; Junge Frau","Fiktionale Darstellung"
"3-423-12592-6","Johannisnacht","Timm, Uwe","Drei turbulente Tage und Nächte in Berlin während der Mittsommernacht, als Christo den Reichstag verhüllte.","244","1999","unb","Dt. Taschenbuch-Verl.","Johannisfest","Fiktionale Darstellung"
"3-423-13138-1","Baudolino","Eco, Umberto","Kaiser Friedrich Barbarossa wird vor einer Schlacht auf den kleinen Bauernbengel Baudolino aufmerksam, der ihm mit einer Prophezeiung zum Sieg verhilft. Vom Kaiser adoptiert, lernt dieser Lesen und Schreiben, eine ganz entscheidende Kenntnis für sein zukünftiges Leben als begnadeter Fälscher.","635","2004","ger","Dt. Taschenbuch-Verl.","Konstantinopel / Eroberung <1204>","Fiktionale Darstellung"
"3-423-25051-8","Der kleine Hobbit","Tolkien, J.R.R.","Ein Wesen aus der Welt der Zwerge, Kobolde und Zauberer muß gegen seinen Willen viele aufregende Abenteuer bestehen.","442","1991","ger","Dt. Taschenbuch-Verl.","Zwerg; Abenteuer","Kinderbuch"
"3-423-31041-3","Thomas Bernhard","Hoell, Joachim","Unterhaltsame, reich illustrierte Einführung in Leben und Werk des österreichischen Autors (1931-89).","159","2003","ger","Dt. Taschenbuch-Verl.","","Biografie"
"3-423-50636-9","Internet-Auktionen bei eBay & Co","Uelzen, Carsten","Der juristische Ratgeber informiert schwerpunktmäßig über die rechtliche Seite von Internet-Auktionen und macht auf Risiken aufmerksam. Das Werk wendet sich an Bieter wie Anbieter. Es werden u.a. Fragen zum Widerrufsrecht beim Fernabsatz sowie zur Mängelhaftung behandelt. Beispiele und Tipps verdeutlichen die Materie. Die Rechtsprechung ist mit Fundstellen angeführt. In Anbetracht des ""eBay-Fiebers"" bei Bedarf. Erster Titel zum Thema.","169","2005","ger","Dt. Taschenbuch-Verl.","Internetauktion; Recht","Ratgeber"
"3-423-62000-5","Sofies Welt","Gaarder, Jostein","Eine fesselnde Reise durch die Geschichte der Philosophie im Dialog eines geheimnisvollen Lehrers mit einer 15jährigen.","622","2005","ger","Dt. Taschenbuch-Verl.","Philosophie","Jugendbuch"
"3-423-62115-X","Das Weihnachtsgeheimnis","Gaarder, Jostein","Joachim will einen Adventskalender. Aber alle sind ausverkauft - bis aufeinen, der viele Rätsel in sich birgt.","270","2006","ger","Dt. Taschenbuch-Verl.","Adventskalender; Geheimnis","Kinderbuch; Kinderbuch"
"3-423-62255-5","Mach's gut, Lucia!","Günther, Herbert","7 Geschichten erzählen vom täglichen Leben der Kinder in Uganda, Brasilien, Russland, Thailand und Indien, das geprägt ist von Armut, Gewalt und Kinderarbeit. Ab 10.","137","2006","ger","Dt. Taschenbuch-Verl.","Kind; Erzählung","Anthologie; Jugendbuch"
"3-423-70085-8","Birgit","Mebs, Gudrun","Ein Mädchen erzählt, was sich in der Familie verändert, als die ältere Schwester mit Gehirntumor ins Krankenhaus kommt.","59","1986","ger","Dtv","Schwester; Hirntumor","Kinderbuch"
"3-423-70134-X","Kleiner König Kalle Wirsch","Michels, Tilde","In einem geheimnisvollen Reich tief in der Erde herrscht Kalle Wirsch über das Volk der Erdmännchen.","159","2002","ger","Dt. Taschenbuch-Verl.","Zwerg; Abenteuer","Kinderbuch"
"3-423-70157-9","Kleine Hasen werden gross","Michels, Tilde","Bei den Wildkaninchen hat es ebenso Nachwuchs gegeben wie bei den Feldhasen.","92","1989","ger","Dtv","Wildkaninchen; Jungtiere; Feldhase; Jungtiere","Kinderbuch; Kinderbuch"
